,FEEDBACK,PRICE,SELLER NAME,PRODUCT NAME
358,"Thank you for an easy, pleasant transaction. Excellent buyer. A++++++.",null,enjoyebiz,null
359,"LIGHTNING FAST PAYMENT, GREAT CUSTOMER, HIGHLY RECCOMENDED, PLEASUE AAA++++",null,rsundby37,null
360,"Fast shipping, just as described A++++++",null,null,null
361,Perfect,null,null,null
362,Excellent Transaction - Great Communication - Fast Shipping - Highly Recommend,null,null,null
363,"good seller, shipped on time",null,null,null
364,thank you quick shipping!,null,null,null
365,"Thank you for an easy, pleasant transaction. Excellent buyer. A++++++.",null,barnesandnobleinc,null
366,Great communication. A pleasure to do business with.,null,sunmall88,null
367,"great price, fast delivery, but wrong item (had to return)",null,null,null
368,A+,null,null,null
369,A+,null,null,null
